seed,won,survivors,turns,theirKills
1000,0,0,27,3
8919,0,0,21,3
16838,0,0,23,2
24757,0,0,21,2
32676,0,0,17,3
40595,0,0,22,4
48514,0,0,26,3
56433,0,0,22,1
64352,0,0,20,4
72271,0,0,24,2
80190,0,0,23,3
88109,1,1,28,5
96028,0,0,26,1
103947,0,0,41,3
111866,0,0,19,1
119785,0,0,24,3
127704,0,0,23,2
135623,0,0,29,4
143542,1,3,27,5
151461,0,0,22,2
159380,1,5,24,5
167299,1,3,27,5
175218,1,1,25,5
183137,0,0,26,3
191056,0,0,28,3
198975,0,0,28,3
206894,0,0,30,4
214813,0,0,23,4
222732,0,0,21,2
230651,1,3,29,5
238570,0,0,28,3
246489,0,0,23,4
254408,0,0,27,3
262327,0,0,20,1
270246,0,0,24,2
278165,0,0,28,4
286084,0,0,20,1
294003,1,2,35,5
301922,1,4,24,5
309841,0,0,55,4
317760,0,0,31,4
325679,0,0,23,3
333598,0,0,23,2
341517,0,0,22,2
349436,0,0,20,2
357355,0,0,29,4
365274,0,0,26,3
373193,0,0,29,4
381112,0,0,23,2
389031,0,0,21,2
396950,0,0,28,3
404869,1,1,47,5
412788,0,0,41,3
420707,0,0,66,4
428626,0,0,21,3
436545,0,0,21,2
444464,0,0,27,2
452383,0,0,25,3
460302,1,4,23,5
468221,1,2,32,5
476140,0,0,26,4
484059,1,4,44,5
491978,1,3,32,5
499897,1,4,44,5
507816,1,1,25,5
515735,0,0,31,4
523654,0,0,29,3
531573,0,0,17,1
539492,0,0,18,1
547411,0,0,25,4
555330,0,0,46,4
563249,0,0,29,3
571168,0,0,25,2
579087,0,0,30,4
587006,0,0,24,3
594925,0,0,21,2
602844,0,0,34,4
610763,0,0,27,3
618682,0,0,21,2
626601,1,2,25,5
634520,1,5,28,5
642439,0,0,25,4
650358,0,0,25,3
658277,0,0,27,4
666196,0,0,23,3
674115,0,0,23,3
682034,0,0,20,2
689953,0,0,50,3
697872,0,0,22,2
705791,0,0,20,3
713710,0,0,19,2
721629,0,0,30,4
729548,0,0,18,2
737467,0,0,24,3
745386,0,0,22,3
753305,1,6,23,5
761224,0,0,27,3
769143,0,0,28,3
777062,1,4,31,5
784981,0,0,23,3
792900,0,0,24,2
800819,0,0,24,3
808738,1,3,34,5
816657,0,0,44,3
824576,1,1,46,5
832495,1,6,24,5
840414,0,0,22,3
848333,1,3,24,5
856252,0,0,21,1
864171,1,2,28,5
872090,0,0,41,4
880009,0,0,31,4
887928,1,3,38,5
895847,0,0,26,2
903766,0,0,20,4
911685,0,0,16,1
919604,0,0,22,3
927523,0,0,22,4
935442,0,0,19,2
943361,0,0,23,1
951280,0,0,35,4
959199,1,2,27,5
967118,0,0,27,3
975037,0,0,21,2
982956,1,5,22,5
990875,1,1,30,5
998794,1,4,27,5
1006713,1,1,38,5
1014632,0,0,33,2
1022551,0,0,22,1
1030470,1,1,39,5
1038389,1,5,59,5
1046308,0,0,19,2
1054227,0,0,27,3
1062146,0,0,29,4
1070065,0,0,19,2
1077984,1,4,41,5
1085903,0,0,27,3
1093822,0,0,21,1
1101741,0,0,24,2
1109660,0,0,20,1
1117579,0,0,28,4
1125498,1,5,27,5
1133417,0,0,27,3
1141336,0,0,42,3
1149255,0,0,25,4
1157174,0,0,44,4
1165093,0,0,32,4
1173012,0,0,28,4
1180931,0,0,25,2
1188850,0,0,23,1
1196769,0,0,24,3
1204688,0,0,21,2
1212607,0,0,17,2
1220526,1,1,31,5
1228445,0,0,22,2
1236364,0,0,30,2
1244283,0,0,23,2
1252202,0,0,21,3
1260121,0,0,26,3
1268040,0,0,19,0
1275959,1,2,30,5
1283878,0,0,30,4
1291797,1,2,40,5
1299716,0,0,34,3
1307635,0,0,22,2
1315554,0,0,33,3
1323473,0,0,35,4
1331392,0,0,20,1
1339311,0,0,24,2
1347230,0,0,23,1
1355149,0,0,20,2
1363068,0,0,28,3
1370987,0,0,32,2
1378906,0,0,38,3
1386825,1,6,20,5
1394744,0,0,37,4
1402663,0,0,32,4
1410582,0,0,23,2
1418501,0,0,28,4
1426420,0,0,23,1
1434339,0,0,32,3
1442258,1,6,30,5
1450177,0,0,26,4
1458096,1,3,34,5
1466015,0,0,22,3
1473934,0,0,44,4
1481853,0,0,36,2
1489772,0,0,23,3
1497691,1,4,41,5
1505610,0,0,21,1
1513529,0,0,27,2
1521448,0,0,36,2
1529367,0,0,20,1
1537286,0,0,22,1
1545205,0,0,27,4
1553124,0,0,22,2
1561043,0,0,31,4
1568962,0,0,27,4
1576881,0,0,24,3
1584800,0,0,33,4
1592719,0,0,22,1
1600638,0,0,23,3
1608557,0,0,25,3
1616476,0,0,24,2
1624395,0,0,40,4
1632314,0,0,25,3
1640233,0,0,28,1
1648152,1,1,43,5
1656071,1,4,30,5
1663990,0,0,32,3
1671909,0,0,23,2
1679828,0,0,20,3
1687747,0,0,26,4
1695666,0,0,21,3
1703585,0,0,28,1
1711504,0,0,31,4
1719423,0,0,26,3
1727342,0,0,27,3
1735261,0,0,23,2
1743180,1,3,28,5
1751099,0,0,25,3
1759018,1,4,23,5
1766937,0,0,31,4
1774856,0,0,33,4
1782775,1,5,50,5
1790694,0,0,22,3
1798613,1,3,43,5
1806532,0,0,41,4
1814451,0,0,22,3
1822370,0,0,22,3
1830289,0,0,20,4
1838208,0,0,24,2
1846127,1,4,34,5
1854046,1,2,25,5
1861965,0,0,22,3
1869884,0,0,29,4
1877803,0,0,26,4
1885722,0,0,26,3
1893641,1,5,20,5
