seed,won,survivors,turns,theirKills
1000,0,0,27,3
8919,0,0,29,3
16838,0,0,26,4
24757,1,1,28,5
32676,0,0,23,2
40595,0,0,25,3
48514,0,0,28,2
56433,0,0,33,4
64352,0,0,39,3
72271,0,0,25,3
80190,0,0,25,3
88109,0,0,34,2
96028,1,0,31,5
103947,0,0,33,3
111866,1,0,31,5
119785,0,0,33,4
127704,0,0,25,2
135623,1,2,25,5
143542,1,3,34,5
151461,0,0,26,2
159380,0,0,25,3
167299,0,0,36,3
175218,0,0,27,4
183137,1,3,33,5
191056,0,0,26,3
198975,0,0,30,2
206894,1,3,42,5
214813,1,1,33,5
222732,0,0,23,3
230651,0,0,31,3
238570,0,0,29,3
246489,0,0,28,3
254408,0,0,21,2
262327,0,0,29,2
270246,0,0,25,3
278165,0,0,30,2
286084,1,2,38,5
294003,0,0,25,3
301922,0,0,33,4
309841,0,0,28,4
317760,1,5,29,5
325679,0,0,35,3
333598,0,0,26,3
341517,0,0,27,3
349436,1,2,26,5
357355,0,0,29,3
365274,0,0,31,3
373193,0,0,31,3
381112,1,3,36,5
389031,1,3,27,5
396950,0,0,24,3
404869,1,3,29,5
412788,0,0,29,3
420707,1,5,27,5
428626,0,0,28,2
436545,0,0,29,4
444464,1,2,25,5
452383,0,0,35,4
460302,0,0,37,3
468221,0,0,25,3
476140,0,0,26,3
484059,0,0,32,3
491978,0,0,29,4
499897,0,0,35,3
507816,1,2,32,5
515735,0,0,25,2
523654,0,0,32,3
531573,0,0,29,3
539492,0,0,27,2
547411,1,4,28,5
555330,0,0,25,3
563249,1,3,33,5
571168,0,0,27,4
579087,0,0,36,4
587006,0,0,29,3
594925,0,0,39,4
602844,1,4,28,5
610763,0,0,25,2
618682,0,0,30,2
626601,0,0,35,4
634520,0,0,25,3
642439,0,0,29,3
650358,0,0,23,3
658277,0,0,29,3
666196,0,0,28,4
674115,0,0,31,3
682034,1,2,35,5
689953,0,0,37,3
697872,0,0,27,2
705791,0,0,27,1
713710,0,0,23,3
721629,1,3,27,5
729548,1,1,30,5
737467,0,0,31,3
745386,0,0,28,3
753305,0,0,28,4
761224,0,0,29,3
769143,0,0,37,4
777062,0,0,21,2
784981,0,0,26,3
792900,0,0,26,3
800819,0,0,29,4
808738,0,0,32,2
816657,1,1,28,5
824576,0,0,24,2
832495,0,0,28,3
840414,0,0,25,3
848333,0,0,32,3
856252,0,0,34,3
864171,0,0,31,2
872090,0,0,24,3
880009,0,0,29,3
887928,0,0,29,2
895847,0,0,27,3
903766,0,0,28,3
911685,0,0,26,2
919604,0,0,26,3
927523,0,0,27,3
935442,0,0,32,3
943361,0,0,33,4
951280,0,0,21,3
959199,0,0,31,4
967118,0,0,27,3
975037,0,0,30,4
982956,0,0,36,4
990875,0,0,31,2
998794,1,2,36,5
1006713,0,0,24,2
1014632,0,0,22,2
1022551,1,1,36,5
1030470,1,3,35,5
1038389,0,0,26,4
1046308,0,0,19,2
1054227,0,0,26,3
1062146,0,0,31,2
1070065,0,0,25,3
1077984,0,0,29,1
1085903,0,0,23,1
1093822,1,3,29,5
1101741,1,1,28,5
1109660,0,0,34,4
1117579,0,0,31,3
1125498,0,0,20,2
1133417,0,0,26,3
1141336,1,5,29,5
1149255,1,1,31,5
1157174,0,0,31,4
1165093,0,0,26,4
1173012,0,0,31,2
1180931,0,0,26,3
1188850,0,0,27,1
1196769,0,0,25,3
1204688,0,0,31,4
1212607,0,0,25,3
1220526,1,3,25,5
1228445,1,4,34,5
1236364,0,0,32,4
1244283,0,0,28,4
1252202,0,0,33,3
1260121,0,0,24,2
1268040,1,4,28,5
1275959,0,0,29,3
1283878,0,0,24,3
1291797,0,0,25,3
1299716,0,0,23,2
1307635,0,0,31,2
1315554,0,0,25,3
1323473,0,0,30,3
1331392,0,0,33,4
1339311,0,0,25,2
1347230,0,0,26,3
1355149,0,0,30,3
1363068,0,0,29,3
1370987,0,0,28,3
1378906,1,3,30,5
1386825,0,0,30,4
1394744,1,3,34,5
1402663,0,0,23,3
1410582,0,0,24,3
1418501,0,0,34,3
1426420,0,0,23,2
1434339,1,4,34,5
1442258,0,0,24,3
1450177,0,0,38,3
1458096,0,0,31,2
1466015,0,0,22,2
1473934,0,0,33,3
1481853,0,0,20,2
1489772,0,0,24,3
1497691,1,4,32,5
1505610,0,0,30,3
1513529,0,0,32,3
1521448,1,5,29,5
1529367,0,0,33,4
1537286,1,5,33,5
1545205,0,0,29,4
1553124,1,4,37,5
1561043,0,0,29,3
1568962,0,0,27,3
1576881,1,2,26,5
1584800,0,0,24,3
1592719,1,4,28,5
1600638,0,0,26,3
1608557,0,0,31,3
1616476,0,0,31,4
1624395,0,0,28,2
1632314,0,0,33,3
1640233,0,0,29,4
1648152,1,3,35,5
1656071,1,1,31,5
1663990,0,0,23,2
1671909,0,0,32,3
1679828,0,0,28,3
1687747,0,0,22,2
1695666,0,0,30,4
1703585,0,0,20,2
1711504,0,0,30,2
1719423,0,0,31,4
1727342,0,0,29,2
1735261,1,3,30,5
1743180,0,0,32,3
1751099,1,3,35,5
1759018,1,2,32,5
1766937,1,5,27,5
1774856,0,0,38,4
1782775,0,0,31,3
1790694,0,0,23,2
1798613,0,0,24,2
1806532,0,0,23,2
1814451,1,2,32,5
1822370,0,0,23,3
1830289,1,2,30,5
1838208,0,0,32,4
1846127,0,0,27,2
1854046,0,0,25,3
1861965,0,0,31,4
1869884,0,0,29,4
1877803,1,3,31,5
1885722,0,0,29,2
1893641,0,0,26,4
