seed,won,survivors,turns,theirKills
1000,0,0,24,2
8919,1,2,38,5
16838,0,0,24,4
24757,1,1,32,5
32676,0,0,28,4
40595,0,0,33,4
48514,1,2,35,5
56433,1,3,28,5
64352,0,0,37,3
72271,0,0,33,4
80190,0,0,26,3
88109,0,0,35,2
96028,0,0,21,2
103947,0,0,31,3
111866,0,0,32,4
119785,0,0,22,2
127704,0,0,24,2
135623,0,0,24,3
143542,0,0,30,3
151461,0,0,26,2
159380,0,0,30,4
167299,0,0,33,4
175218,0,0,30,4
183137,0,0,29,4
191056,0,0,26,2
198975,0,0,38,3
206894,0,0,29,2
214813,0,0,37,4
222732,0,0,30,4
230651,0,0,30,3
238570,0,0,27,2
246489,0,0,24,2
254408,0,0,22,2
262327,0,0,36,4
270246,0,0,22,3
278165,1,2,37,5
286084,1,1,36,5
294003,0,0,25,2
301922,0,0,46,3
309841,1,1,32,5
317760,1,5,26,5
325679,0,0,32,2
333598,0,0,24,2
341517,1,1,29,5
349436,1,1,32,5
357355,0,0,25,2
365274,0,0,28,3
373193,0,0,38,4
381112,1,1,37,5
389031,0,0,26,2
396950,0,0,30,4
404869,0,0,35,3
412788,0,0,30,3
420707,1,5,26,5
428626,0,0,40,4
436545,0,0,28,4
444464,0,0,22,2
452383,1,3,30,5
460302,0,0,36,2
468221,0,0,34,4
