seed,won,survivors,turns,theirKills
1000,0,0,26,2
8919,0,0,32,3
16838,0,0,29,2
24757,1,2,51,5
32676,0,0,54,4
40595,0,0,19,2
48514,0,0,22,4
56433,0,0,29,3
64352,1,3,38,5
72271,0,0,24,2
80190,0,0,20,2
88109,0,0,41,4
96028,0,0,32,4
103947,1,6,27,5
111866,1,3,28,5
119785,1,3,41,5
127704,0,0,23,3
135623,1,6,24,5
143542,1,4,28,5
151461,1,6,30,5
159380,1,1,43,5
167299,1,1,29,5
175218,1,5,29,5
183137,0,0,28,4
191056,0,0,51,2
198975,1,1,53,5
206894,0,0,25,4
214813,0,0,32,4
222732,0,0,34,4
230651,1,2,37,5
238570,1,3,23,5
246489,0,0,31,3
254408,0,0,27,3
262327,0,0,22,2
270246,0,0,47,3
278165,0,0,28,4
286084,0,0,24,2
294003,0,0,28,4
301922,0,0,23,4
309841,0,0,31,4
317760,0,0,22,2
325679,0,0,23,2
333598,1,1,29,5
341517,0,0,22,2
349436,0,0,23,2
357355,1,6,25,5
365274,1,2,33,5
373193,1,2,27,5
381112,0,0,31,3
389031,0,0,46,4
396950,0,0,31,3
404869,0,0,29,4
412788,1,3,31,5
420707,1,6,31,5
428626,0,0,29,3
436545,0,0,29,4
444464,1,6,26,5
452383,1,3,31,5
460302,0,0,29,4
468221,0,0,33,4
476140,1,4,24,5
484059,0,0,28,3
491978,0,0,34,3
499897,0,0,33,3
507816,1,2,39,5
515735,0,0,31,4
523654,0,0,32,4
531573,1,6,30,5
539492,0,0,24,3
547411,1,2,28,5
555330,1,3,25,5
563249,0,0,28,4
571168,1,4,34,5
579087,1,4,26,5
587006,1,4,26,5
594925,0,0,20,2
602844,0,0,50,4
610763,0,0,28,4
618682,1,3,24,5
626601,1,2,44,5
