seed,won,survivors,turns,theirKills
1000,0,0,26,2
8919,1,5,33,5
16838,0,0,29,2
24757,0,0,38,4
32676,0,0,24,3
40595,0,0,19,2
48514,0,0,22,4
56433,0,0,29,3
64352,0,0,32,4
72271,1,4,24,5
80190,0,0,20,2
88109,1,2,33,5
96028,0,0,32,4
103947,1,6,27,5
111866,1,3,28,5
119785,1,6,29,5
127704,0,0,23,3
135623,1,6,24,5
143542,1,4,28,5
151461,1,6,30,5
159380,1,1,43,5
167299,0,0,27,4
175218,1,5,29,5
183137,0,0,28,4
191056,0,0,51,2
198975,0,0,34,4
206894,0,0,25,4
214813,0,0,32,4
222732,0,0,34,4
230651,1,4,23,5
238570,1,3,23,5
246489,0,0,31,3
254408,0,0,27,3
262327,0,0,22,2
270246,0,0,30,4
278165,0,0,28,4
286084,0,0,24,2
294003,0,0,28,4
301922,0,0,23,4
309841,1,2,36,5
317760,0,0,22,2
325679,0,0,23,2
333598,1,1,29,5
341517,0,0,20,2
349436,0,0,23,2
357355,1,6,25,5
365274,1,2,33,5
373193,1,2,27,5
381112,0,0,31,3
389031,0,0,41,4
396950,0,0,29,3
404869,1,1,26,5
412788,0,0,30,4
420707,1,6,39,5
428626,0,0,29,3
436545,1,2,26,5
444464,1,5,23,5
452383,1,1,30,5
460302,1,4,25,5
468221,0,0,33,4
476140,1,4,22,5
484059,0,0,28,3
491978,0,0,34,3
499897,0,0,33,3
507816,1,2,39,5
515735,0,0,31,4
523654,0,0,32,4
531573,1,6,30,5
539492,0,0,24,3
547411,1,2,28,5
555330,1,3,25,5
563249,0,0,28,4
571168,1,6,29,5
579087,1,4,26,5
587006,1,4,26,5
594925,0,0,20,2
602844,1,2,50,5
610763,0,0,28,4
618682,1,3,24,5
626601,1,2,44,5
