seed,won,survivors,turns,theirKills
1000,0,0,35,4
8919,0,0,26,3
16838,0,0,26,4
24757,0,0,30,4
32676,0,0,17,3
40595,1,6,27,5
48514,0,0,26,3
56433,1,3,25,5
64352,0,0,22,3
72271,1,3,37,5
80190,1,1,31,5
88109,1,2,41,5
96028,0,0,33,4
103947,0,0,18,2
111866,0,0,22,3
119785,1,1,26,5
127704,1,1,22,5
135623,0,0,46,3
143542,0,0,51,3
151461,0,0,32,3
159380,1,1,31,5
167299,0,0,25,4
175218,0,0,29,4
183137,0,0,22,2
191056,0,0,27,3
198975,1,4,36,5
206894,0,0,24,4
214813,0,0,25,3
222732,0,0,29,4
230651,0,0,22,3
238570,1,2,25,5
246489,0,0,22,3
254408,0,0,33,4
262327,0,0,18,2
270246,0,0,30,3
278165,0,0,64,4
286084,1,3,24,5
294003,0,0,28,4
301922,1,6,30,5
309841,0,0,24,4
317760,1,5,28,5
325679,0,0,26,4
333598,0,0,25,4
341517,0,0,21,3
349436,0,0,24,3
357355,0,0,26,3
365274,0,0,21,3
373193,0,0,26,3
381112,0,0,33,2
389031,0,0,27,3
396950,0,0,35,3
404869,1,2,29,5
412788,0,0,26,2
420707,0,0,34,4
428626,0,0,24,4
436545,1,3,22,5
444464,0,0,26,4
452383,0,0,27,4
460302,0,0,28,4
468221,0,0,27,3
476140,0,0,26,3
484059,0,0,31,4
491978,0,0,26,2
499897,0,0,31,3
507816,0,0,22,3
515735,0,0,19,2
523654,0,0,23,3
531573,0,0,25,4
539492,0,0,24,3
547411,0,0,26,3
555330,0,0,22,4
563249,0,0,36,4
571168,0,0,22,3
579087,0,0,19,2
587006,0,0,28,4
594925,0,0,24,4
602844,0,0,20,2
610763,0,0,26,3
618682,0,0,24,3
626601,0,0,21,2
