seed,won,survivors,turns,theirKills
1000,0,0,24,2
8919,0,0,38,4
16838,1,2,35,5
24757,1,1,32,5
32676,0,0,28,2
40595,0,0,32,4
48514,1,2,38,5
56433,1,1,38,5
64352,0,0,40,3
72271,1,3,29,5
80190,0,0,22,2
88109,0,0,39,2
96028,0,0,21,2
103947,0,0,31,3
111866,0,0,32,4
119785,1,2,35,5
127704,0,0,24,2
135623,0,0,26,3
143542,0,0,30,3
151461,0,0,26,2
159380,0,0,32,4
167299,0,0,45,3
175218,0,0,30,4
183137,0,0,27,4
191056,0,0,26,2
198975,1,1,41,5
206894,0,0,29,2
214813,0,0,37,4
222732,0,0,30,4
230651,0,0,30,3
238570,0,0,37,4
246489,0,0,24,2
254408,0,0,21,2
262327,0,0,38,4
270246,0,0,22,3
278165,0,0,45,4
286084,0,0,39,4
294003,0,0,25,2
301922,0,0,36,4
309841,1,1,32,5
317760,1,5,28,5
325679,0,0,34,2
333598,0,0,24,2
341517,1,1,30,5
349436,0,0,37,3
357355,0,0,25,2
365274,0,0,30,3
373193,1,2,42,5
381112,0,0,44,4
389031,0,0,27,2
396950,0,0,31,4
404869,0,0,35,3
412788,0,0,29,3
420707,1,5,28,5
428626,0,0,40,4
436545,0,0,37,4
444464,0,0,33,4
452383,1,2,39,5
460302,0,0,39,2
468221,0,0,33,4
