,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) RAIN TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: DOUBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ELITE FOUR
LORELEI",,Politoed,,,,,Ogerpon-W,,,,,Swampert-Mega,,,,,Walking Wake,,,,,Kyogre-P,,,,,Iron Bundle,,,
,,,,85,,,,,85,,,,,85,,,,,85,,,,,85,,,,,85,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Jolly,,,,,Adamant,,,,,Timid,,,,,Timid,,,,,Timid,,,
,,,,Drizzle,,,,,Water Absorb,,,,,"Torrent
Swift Swim",,,,,Protosynthesis,,,,,Primordial Sea,,,,,Quark Drive,,,
,,,,Damp Rock,,,,,Well. Mask,,,,,Swampertite,,,,,Life Orb,,,,,Blue Orb,,,,,Focus Sash,,,
,,,,Flip Turn,,,,,Ivy Cudgel,,,,,Pow-Up Punch,,,,,Sleep Talk,,,,,Water Spout,,,,,Hydro Pump,,,
,,,,Scald,,,,,Horn Leech,,,,,Earthquake,,,,,Hurricane,,,,,Origin Pulse,,,,,Freeze-Dry,,,
,,,,Haze,,,,,Knock Off,,,,,Ice Punch,,,,,Hydro Pump,,,,,Thunder,,,,,Ice Beam,,,
,,,,Rain Dance,,,,,Play Rough,,,,,Waterfall,,,,,Dragon Pulse,,,,,Ice Beam,,,,,Flip Turn,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,90,,252,,HP,80,,,,HP,100,,,,HP,99,,,,HP,100,,,,HP,56,,
,,,,ATK,75,,,,ATK,120,,252,,ATK,150,,252,,ATK,83,,,,ATK,150,,,,ATK,80,,
,,,,DEF,75,,4,,DEF,84,,4,,DEF,110,,4,,DEF,91,,4,,DEF,90,,4,,DEF,114,,4
,,,,SPA,90,,,,SPA,60,,,,SPA,95,,,,SPA,125,,252,,SPA,180,,252,,SPA,124,,252
,,,,SPD,100,,,,SPD,96,,,,SPD,110,,,,SPD,83,,,,SPD,160,,,,SPD,60,,
