,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"MT. MOON
ARCHER",,Glimmet,,,,,Houndour,,,,,Mightyena,,,,,,,,,,,,,,,,,,
,,,,18,,,,,19,,,,,21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Timid,,,,,Jolly,,,,,,,,,,,,,,,,,,
,,,,Toxic Debris,,,,,Unnerve,,,,,Strong Jaw,,,,,,,,,,,,,,,,,,
,,,,Shuca Berry,,,,,Wise Glasses,,,,,Berry Juice,,,,,,,,,,,,,,,,,,
,,,,Ancient Power,,,,,Snarl,,,,,Bite,,,,,,,,,,,,,,,,,,
,,,,Venoshock,,,,,Incinerate,,,,,Ice Fang,,,,,,,,,,,,,,,,,,
,,,,Mud Shot,,,,,HP Grass,,,,,Howl,,,,,,,,,,,,,,,,,,
,,,,Protect,,,,,Protect,,,,,Fire Fang,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,,,,,,
,,,,HP,48,,,,HP,45,,,,HP,70,,,,,,,,,,,,,,,,,
,,,,ATK,35,,,,ATK,60,,,,ATK,95,,,,,,,,,,,,,,,,,
,,,,DEF,42,,,,DEF,30,,,,DEF,70,,,,,,,,,,,,,,,,,
,,,,SPA,105,,,,SPA,80,,,,SPA,60,,,,,,,,,,,,,,,,,
,,,,SPD,60,,,,SPD,50,,,,SPD,60,,,,,,,,,,,,,,,,,
,,,,SPE,60,,,,SPE,65,,,,SPE,70,,,,,,,,,,,,,,,,,
,,,,SPEED STAT:,,,35,,SPEED STAT:,,,38,,SPEED STAT:,,,44,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"NUGG. BRIDGE
GRUNT",,Growlithe,,,,,Gabite,,,,,Togedemaru,,,,,Komala,,,,,,,,,,,,,
,,,,Highest Lv -2,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Careful,,,,,Impish,,,,,Careful,,,,,Adamant,,,,,,,,,,,,,
,,,,Intimidate,,,,,Rough Skin,,,,,Iron Barbs,,,,,Comotose,,,,,,,,,,,,,
,,,,Eviolite,,,,,Eviolite,,,,,Rocky Helmet,,,,,Silk Scarf,,,,,,,,,,,,,
,,,,Dragon Rage,,,,,Body Slam,,,,,U-Turn,,,,,Protect,,,,,,,,,,,,,
,,,,Fire Fang,,,,,Rock Slide,,,,,Zippy Zap,,,,,Last Resort,,,,,,,,,,,,,
,,,,Thunder Fang,,,,,Dual Chop,,,,,Iron Head,,,,,-,,,,,,,,,,,,,
,,,,Bulldoze,,,,,Bulldoze,,,,,Nuzzle,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,55,,,,HP,68,,,,HP,65,,,,HP,75,,,,,,,,,,,,
,,,,ATK,70,,,,ATK,90,,,,ATK,108,,,,ATK,115,,,,,,,,,,,,
,,,,DEF,45,,,,DEF,65,,,,DEF,63,,,,DEF,65,,,,,,,,,,,,
,,,,SPA,70,,,,SPA,50,,,,SPA,40,,,,SPA,75,,,,,,,,,,,,
,,,,SPD,50,,,,SPD,55,,,,SPD,73,,,,SPD,95,,,,,,,,,,,,
,,IF YOU'RE,,SPE,60,,,,SPE,82,,,,SPE,96,,,,SPE,65,,,,,,,,,,,,
,,LEVEL 27 ->>,,SPEED STAT:,,,42,,SPEED STAT:,,,49,,SPEED STAT:,,,56,,SPEED STAT:,,,42,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"DIG HOUSE
GRUNT",,Persian-A,,,,,Golbat,,,,,Oinkologne-F,,,,,Octillery,,,,,,,,,,,,,
,,,,Highest Lv -4,,,,,Highest Lv -3,,,,,Highest Lv -5,,,,,Highest Lv -3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Naive,,,,,Impish,,,,,Rash,,,,,,,,,,,,,
,,,,Feline Prowess,,,,,Sniper,,,,,Gluttony,,,,,Skill Link,,,,,,,,,,,,,
,,,,Black Glasses,,,,,Eviolite,,,,,Figy Berry,,,,,Rindo Berry,,,,,,,,,,,,,
,,,,Snarl,,,,,Mega Drain,,,,,Stockpile,,,,,Bullet Seed,,,,,,,,,,,,,
,,,,Water Pulse,,,,,Cross Poison,,,,,Body Press,,,,,Rock Blast,,,,,,,,,,,,,
,,,,Parting Shot,,,,,Air Cutter,,,,,Bullet Seed,,,,,Water Pulse,,,,,,,,,,,,,
,,,,Shock Wave,,,,,HP Fire,,,,,Headbutt,,,,,Icy Wind,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,65,,,,HP,75,,,,HP,115,,,,HP,75,,,,,,,,,,,,
,,,,ATK,60,,,,ATK,80,,,,ATK,90,,,,ATK,105,,,,,,,,,,,,
,,,,DEF,60,,,,DEF,70,,,,DEF,70,,,,DEF,75,,,,,,,,,,,,
,,,,SPA,55,,,,SPA,65,,,,SPA,59,,,,SPA,105,,,,,,,,,,,,
,,,,SPD,65,,,,SPD,75,,,,SPD,90,,,,SPD,75,,,,,,,,,,,,
,,IF YOU'RE,,SPE,115,,,,SPE,90,,,,SPE,65,,,,SPE,75,,,,,,,,,,,,
,,LEVEL 34 ->>,,SPEED STAT:,,,91,,SPEED STAT:,,,77,,SPEED STAT:,,,51,,SPEED STAT:,,,61,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: DOUBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GAME CORNER
GUARD",,Hypno,,,,,Aerodactyl,,,,,Granbull,,,,,Obstagoon,,,,,,,,,,,,,
,,,,Highest Lv -3,,,,,Highest Lv -3,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calm,,,,,Jolly,,,,,Adamant,,,,,Jolly,,,,,,,,,,,,,
,,,,Bad Dreams,,,,,Unnerve,,,,,Intimidate,,,,,Guts,,,,,,,,,,,,,
,,,,Colbur Berry,,,,,Focus Sash,,,,,Lum Berry,,,,,Flame Orb,,,,,,,,,,,,,
,,,,Dark Void,,,,,Rock Slide,,,,,Drain Punch,,,,,Facade,,,,,,,,,,,,,
