,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"PEWTER MUSEUM
LEADER
FALKNER",,Rufflet,,,,,Wattrel,,,,,Flittle,,,,,,,,,,,,,,,,,,
,,,,12,,,,,14,,,,,14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Timid,,,,,Bold,,,,,,,,,,,,,,,,,,
,,,,Hustle,,,,,Volt Absorb,,,,,Speed Boost,,,,,,,,,,,,,,,,,,
,,,,Berry Juice,,,,,Berry Juice,,,,,Eviolite,,,,,,,,,,,,,,,,,,
,,,,Aerial Ace,,,,,Flash,,,,,Disarm. Voice,,,,,,,,,,,,,,,,,,
,,,,Rock Tomb,,,,,Air Slash,,,,,Roost,,,,,,,,,,,,,,,,,,
,,,,Rock Smash,,,,,Sleep Talk,,,,,Psybeam,,,,,,,,,,,,,,,,,,
,,,,Roost,,,,,Roost,,,,,Calm Mind,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,,,,,,
,,,,HP,70,,,,HP,40,,,,HP,30,,,,,,,,,,,,,,,,,
,,,,ATK,83,,,,ATK,40,,,,ATK,35,,,,,,,,,,,,,,,,,
,,,,DEF,50,,,,DEF,35,,,,DEF,30,,,,,,,,,,,,,,,,,
,,,,SPA,37,,,,SPA,55,,,,SPA,55,,,,,,,,,,,,,,,,,
,,,,SPD,50,,,,SPD,40,,,,SPD,30,,,,,,,,,,,,,,,,,
,,,,SPE,60,,,,SPE,70,,,,SPE,75,,,,,,,,,,,,,,,,,
,,,,SPEED STAT:,,,25,,SPEED STAT:,,,30,,SPEED STAT:,,,30,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1 S. BOOST:,,,45,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) PRE LT. SURGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: PERMANENT RAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 25
LEADER
BUGSY",,Lokix,,,,,Ledian,,,,,Scyther,,,,,Scizor,,,,,,,,,,,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Jolly,,,,,Jolly,,,,,Careful,,,,,,,,,,,,,
,,,,Tinted Lens,,,,,Iron Fist,,,,,Technician,,,,,Technician,,,,,,,,,,,,,
,,,,Silver Powder,,,,,Focus Sash,,,,,Charti Berry,,,,,Sitrus Berry,,,,,,,,,,,,,
