,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 8
ACE TRAINER
COLE",,Yanmega,,,,,Tyrantrum,,,,,Weezing-G,,,,,Ferrothorn,,,,,Gastrodon,,,,,Centiskorch-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Jolly,,,,,Bold,,,,,Impish,,,,,Calm,,,,,Adamant,,,
,,,,Frisk,,,,,Rock Head,,,,,"Neutralizing Gas
or Levitate",,,,,Iron Barbs,,,,,Storm Drain,,,,,"Flash Fire or White Smoke
Mountaineer",,,
,,,,Focus Sash,,,,,Shuca Berry,,,,,Rocky Helmet,,,,,Rocky Helmet,,,,,Rocky Helmet,,,,,Centiskite,,,
,,,,Bug Buzz,,,,,Dragon Claw,,,,,Flamethrower,,,,,Thunder Wave,,,,,Scald,,,,,Fire Lash,,,
,,,,Air Slash,,,,,Dragon Dance,,,,,Strange Steam,,,,,Gyro Ball,,,,,Recover,,,,,Leech Life,,,
,,,,U-Turn,,,,,Earthquake,,,,,Sludge Bomb,,,,,Leech Seed,,,,,Earth Power,,,,,Knock Off,,,
,,,,Giga Drain,,,,,Head Smash,,,,,Haze,,,,,Power Whip,,,,,Mirror Coat,,,,,Coil,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,86,,6,,HP,82,,6,,HP,65,,252,,HP,74,,252,,HP,111,,252,,HP,100,,252
,,,,ATK,76,,,,ATK,121,,252,,ATK,90,,,,ATK,94,,,,ATK,83,,,,ATK,150,,252
,,,,DEF,86,,,,DEF,119,,,,DEF,120,,252,,DEF,131,,128,,DEF,68,,,,DEF,80,,
,,,,SPA,116,,252,,SPA,69,,,,SPA,85,,,,SPA,54,,,,SPA,92,,,,SPA,90,,
,,,,SPD,56,,,,SPD,59,,,,SPD,70,,,,SPD,116,,128,,SPD,82,,252,,SPD,110,,
,,IF YOU'RE,,SPE,95,,252,,SPE,71,,252,,SPE,60,,,,SPE,20,,4,,SPE,39,,,,SPE,85,,6
,,LEVEL 59 ->>,,SPEED STAT:,,,182,,SPEED STAT:,,,152,,SPEED STAT:,,,91,,SPEED STAT:,,,46,,SPEED STAT:,,,67,,SPEED STAT:,,,120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SAFFRON CITY
DUMASS
KID",,Swampert,,,,,Pelipper,,,,,Scizor,,,,,Frosmoth,,,,,Seaking,,,,,Swampert-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Modest,,,,,Adamant,,,,,Modest,,,,,Adamant,,,,,Adamant,,,
,,,,Torrent,,,,,Drizzle,,,,,Technician,,,,,Ice Scales,,,,,Rain Dish,,,,,"Torrent
Swift Swim",,,
,,,,Rindo Berry,,,,,Damp Rock,,,,,Metal Coat,,,,,Leftovers,,,,,Choice Band,,,,,Swampertite,,,
,,,,Stealth Rock,,,,,Surf,,,,,Swords Dance,,,,,Quiver Dance,,,,,Fishious Rend,,,,,Liquidation,,,
,,,,Flip Turn,,,,,Hurricane,,,,,U-Turn,,,,,Ice Beam,,,,,Megahorn,,,,,Earthquake,,,
,,,,Liquidation,,,,,U-Turn,,,,,Bullet Punch,,,,,Hurricane,,,,,Flip Turn,,,,,Ice Punch,,,
,,,,Earthquake,,,,,Roost,,,,,Superpower,,,,,Bug Buzz,,,,,-,,,,,Flip Turn,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,100,,252,,HP,60,,6,,HP,70,,252,,HP,70,,6,,HP,80,,6,,HP,100,,6
,,,,ATK,110,,252,,ATK,50,,,,ATK,130,,252,,ATK,65,,,,ATK,92,,252,,ATK,150,,252
,,,,DEF,90,,,,DEF,100,,,,DEF,100,,,,DEF,65,,,,DEF,65,,,,DEF,110,,
,,,,SPA,85,,,,SPA,95,,252,,SPA,55,,,,SPA,125,,252,,SPA,65,,,,SPA,95,,
,,,,SPD,90,,,,SPD,70,,,,SPD,80,,,,SPD,90,,,,SPD,80,,,,SPD,110,,
,,IF YOU'RE,,SPE,60,,6,,SPE,65,,252,,SPE,65,,6,,SPE,65,,252,,SPE,68,,252,,SPE,70,,252
,,LEVEL 59 ->>,,SPEED STAT:,,,91,,SPEED STAT:,,,132,,SPEED STAT:,,,97,,SPEED STAT:,,,132,,SPEED STAT:,,,136,,SPEED STAT:,,,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWIFT SWIM:,,,276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CELADON HOTEL
BEAUTY
SAM",,Luvdisc,,,,,Flapple-Mega,,,,,Farfetch'd,,,,,,,,,,,,,,,,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Naive,,,,,Jolly,,,,,,,,,,,,,,,,,,
,,,,Soul-Heart,,,,,"Hustle
Dragon's Maw",,,,,Sharpness,,,,,,,,,,,,,,,,,,
,,,,Focus Sash,,,,,Applite,,,,,Leek Stick,,,,,,,,,,,,,,,,,,
,,,,Lovely Kiss,,,,,Scale Shot,,,,,Brave Bird,,,,,,,,,,,,,,,,,,
,,,,Dazz. Gleam,,,,,Grav Apple,,,,,Sacred Sword,,,,,,,,,,,,,,,,,,
,,,,Hydro Pump,,,,,Draco Meteor,,,,,Leaf Blade,,,,,,,,,,,,,,,,,,
,,,,Ice Beam,,,,,Sucker Punch,,,,,Night Slash,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,,,,,,
,,,,HP,43,,6,,HP,70,,6,,HP,75,,6,,,,,,,,,,,,,,,
,,,,ATK,30,,,,ATK,145,,128,,ATK,90,,252,,,,,,,,,,,,,,,
,,,,DEF,55,,,,DEF,90,,,,DEF,70,,,,,,,,,,,,,,,,,
,,,,SPA,100,,252,,SPA,135,,128,,SPA,58,,,,,,,,,,,,,,,,,
,,,,SPD,65,,,,SPD,70,,,,SPD,77,,,,,,,,,,,,,,,,,
,,IF YOU'RE,,SPE,97,,252,,SPE,105,,252,,SPE,65,,252,,,,,,,,,,,,,,,
,,LEVEL 59 ->>,,SPEED STAT:,,,185,,SPEED STAT:,,,195,,SPEED STAT:,,,145,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) BACK TO BACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CELADON HOTEL
BEAUTY
SHELLY",,Dodrio,,,,,Granbull,,,,,Appletun-Mega,,,,,Cinccino,,,,,,,,,,,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Adamant,,,,,Modest,,,,,Jolly,,,,,,,,,,,,,
,,,,Rock Head,,,,,Intimidate,,,,,"Thick Fat
Contrary",,,,,Skill Link,,,,,,,,,,,,,
,,,,Focus Sash,,,,,Leftovers,,,,,Applite,,,,,Expert Belt,,,,,,,,,,,,,
,,,,Pursuit,,,,,Close Combat,,,,,Draco Meteor,,,,,Tail Slap,,,,,,,,,,,,,
,,,,Brave Bird,,,,,Play Rough,,,,,Superpower,,,,,Triple Axel,,,,,,,,,,,,,
,,,,Double-Edge,,,,,Thunder Wave,,,,,Leaf Storm,,,,,Rock Blast,,,,,,,,,,,,,
,,,,Jump Kick,,,,,Fire Punch,,,,,Recover,,,,,Bullet Seed,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,60,,6,,HP,100,,252,,HP,110,,252,,HP,75,,6,,,,,,,,,,
,,,,ATK,110,,252,,ATK,120,,252,,ATK,105,,,,ATK,95,,252,,,,,,,,,,
,,,,DEF,70,,,,DEF,75,,,,DEF,100,,,,DEF,60,,,,,,,,,,,,
,,,,SPA,60,,,,SPA,60,,,,SPA,135,,252,,SPA,65,,,,,,,,,,,,
,,,,SPD,60,,,,SPD,60,,,,SPD,100,,,,SPD,60,,,,,,,,,,,,
,,IF YOU'RE,,SPE,110,,252,,SPE,45,,6,,SPE,40,,6,,SPE,115,,252,,,,,,,,,,
,,LEVEL 59 ->>,,SPEED STAT:,,,201,,SPEED STAT:,,,74,,SPEED STAT:,,,68,,SPEED STAT:,,,207,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 15
ACE TRAINER
HALEY",,Magnezone,,,,,Hawlucha,,,,,Magmortar,,,,,Cursola,,,,,Starmie,,,,,Sandaconda-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Jolly,,,,,Timid,,,,,Timid,,,,,Timid,,,,,Careful,,,
,,,,Sturdy,,,,,Unburden,,,,,"Flame Body
or Quick Draw",,,,,Unburden,,,,,Analytic,,,,,"Shed Skin
Aerilate",,,
,,,,Air Balloon,,,,,Power Herb,,,,,Power Herb,,,,,Power Herb,,,,,Power Herb,,,,,Sandacondite,,,
,,,,Volt Switch,,,,,Sky Attack,,,,,Meteor Beam,,,,,Meteor Beam,,,,,Meteor Beam,,,,,Body Slam,,,
,,,,Flash Cannon,,,,,Acrobatics,,,,,Flamethrower,,,,,Shadow Ball,,,,,Surf,,,,,Rest,,,
,,,,HP Dark,,,,,Close Combat,,,,,Steam Erupt.,,,,,Ice Beam,,,,,Ice Beam,,,,,Sleep Talk,,,
,,,,Thunderbolt,,,,,Swords Dance,,,,,Thunderbolt,,,,,Mystical Fire,,,,,Psyshock,,,,,Coil,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,70,,6,,HP,78,,6,,HP,75,,6,,HP,80,,6,,HP,60,,6,,HP,72,,252
,,,,ATK,70,,,,ATK,92,,252,,ATK,80,,,,ATK,75,,,,ATK,75,,,,ATK,140,,
,,,,DEF,115,,,,DEF,75,,,,DEF,67,,,,DEF,50,,,,DEF,85,,,,DEF,160,,
,,,,SPA,130,,252,,SPA,74,,,,SPA,125,,252,,SPA,145,,252,,SPA,100,,252,,SPA,85,,
,,,,SPD,90,,,,SPD,63,,,,SPD,95,,,,SPD,130,,,,SPD,85,,,,SPD,90,,252
,,IF YOU'RE,,SPE,60,,252,,SPE,118,,252,,SPE,98,,252,,SPE,55,,252,,SPE,115,,252,,SPE,81,,
,,LEVEL 68 ->>,,SPEED STAT:,,,160,,SPEED STAT:,,,244,,SPEED STAT:,,,215,,SPEED STAT:,,,152,,SPEED STAT:,,,239,,SPEED STAT:,,,132
,,,,,,,,,UNBURDEN:,,,488,,,,,,,UNBURDEN:,,,304,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"POWER PLANT
DUMASS
JOJO FAN",,Hoopa-U,,,,,Aegislash,,,,,Ogerpon-C,,,,,Simisear,,,,,Celebi,,,,,Machamp-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Quiet,,,,,Jolly,,,,,Timid,,,,,Timid,,,,,Adamant,,,
