episode	state	pattern	frame	our_sp	our_hp	our_max	foe_sp	foe_ability	foe_hp	foe_max	action	move_id	new_sp	new_ability
1	1	1	947	673	98	98	100	0	0	63	switch	0	640	80
2	1	2	703	673	98	98	100	0	0	63	switch	0	640	80
2	1	2	1294	673	98	98	640	80	25	69	move	314	0	0
3	1	3	238	673	98	98	100	9	63	63	move	103	0	0
3	1	3	1028	673	98	98	100	0	0	63	switch	0	640	80
3	1	3	1617	673	98	98	640	80	22	69	move	314	0	0
3	1	3	2732	602	102	102	640	80	22	69	move	314	0	0
4	1	4	565	673	98	98	100	9	6	63	move	103	0	0
4	1	4	1328	602	102	102	100	9	6	63	move	120	0	0
4	1	4	1817	602	85	102	100	0	0	63	switch	0	640	80
4	1	4	2343	602	85	102	640	80	69	69	move	314	0	0
4	1	4	3399	602	66	102	640	80	37	69	move	314	0	0
4	1	4	4071	602	24	102	640	80	37	69	move	314	0	0
5	2	1	782	71	108	108	61	0	0	70	switch	0	1162	4
5	2	1	1288	71	108	108	1162	4	17	77	move	116	0	0
6	2	2	593	71	108	108	61	0	0	70	switch	0	1162	4
6	2	2	1216	71	108	108	1162	4	12	77	move	116	0	0
8	2	4	944	71	108	108	61	0	0	70	switch	0	1162	4
9	3	1	69	307	95	95	386	87	62	62	move	109	0	0
9	3	1	1211	307	95	95	386	0	0	62	switch	0	306	27
9	3	1	1729	307	77	95	306	27	57	57	move	29	0	0
10	3	2	264	307	95	95	386	87	37	62	move	109	0	0
10	3	2	1986	307	95	95	386	87	37	62	move	419	0	0
10	3	2	3363	307	86	95	386	87	37	62	move	419	0	0
10	3	2	5010	307	78	95	386	87	37	62	move	419	0	0
10	3	2	6387	307	68	95	386	87	37	62	move	419	0	0
10	3	2	8034	307	55	95	386	87	37	62	move	419	0	0
10	3	2	9330	307	68	95	386	87	37	62	move	419	0	0
10	3	2	10707	307	59	95	386	87	37	62	move	419	0	0
10	3	2	11571	307	51	95	386	87	37	62	move	419	0	0
10	3	2	12435	307	38	95	386	87	37	62	move	419	0	0
10	3	2	13299	307	28	95	386	87	37	62	move	419	0	0
10	3	2	14163	307	20	95	386	87	37	62	move	419	0	0
10	3	2	15028	307	11	95	386	87	37	62	move	419	0	0
10	3	2	15890	307	2	95	386	87	37	62	move	98	0	0
10	3	2	16755	768	112	112	386	87	37	62	move	109	0	0
11	3	3	96	307	95	95	386	87	62	62	move	109	0	0
11	3	3	1429	307	77	95	386	87	18	62	move	419	0	0
11	3	3	2804	307	68	95	386	0	0	62	switch	0	306	27
12	3	4	123	307	95	95	386	87	62	62	move	109	0	0
12	3	4	1716	307	95	95	386	87	10	62	move	236	0	0
12	3	4	3722	307	77	95	386	0	0	62	switch	0	306	27
13	4	1	75	602	102	102	1317	99	97	97	move	588	0	0
14	4	2	102	602	102	102	1317	99	97	97	move	588	0	0
14	4	2	1207	768	112	112	1317	99	97	97	move	282	0	0
14	4	2	1937	768	71	112	1317	99	97	97	move	141	0	0
14	4	2	2800	768	26	112	1317	99	97	97	move	282	0	0
15	4	3	102	602	102	102	1317	99	97	97	move	588	0	0
16	4	4	129	602	102	102	1317	99	97	97	move	588	0	0
17	5	1	224	171	139	139	1163	181	78	95	switch	0	862	204
18	5	2	252	171	139	139	1163	181	78	95	switch	0	862	204
18	5	2	1549	171	139	139	862	204	117	125	switch	0	845	93
18	5	2	2520	171	139	139	845	93	99	99	move	371	0	0
18	5	2	3384	171	71	139	845	93	86	99	move	371	0	0
19	5	3	252	171	139	139	1163	181	78	95	switch	0	862	204
20	5	4	278	171	139	139	1163	181	78	95	switch	0	862	204
20	5	4	1761	171	139	139	862	204	100	125	move	237	0	0
