trial	addr	value	foe_hp	foe_max	damage	our_hp
1	0	0	73	125	52	139
2	33785552	3200824709	87	125	38	139
3	33785552	3758756062	86	125	39	139
4	33785552	2014875585	73	125	52	139
5	33785552	305419896	87	125	38	139
6	50352128	3200824709	73	125	52	139
7	50352128	3758756062	73	125	52	139
8	50352128	2014875585	73	125	52	139
9	50352128	305419896	73	125	52	139
10	33687100	3200824709	73	125	52	139
11	33687100	3758756062	73	125	52	139
12	33687100	2014875585	73	125	52	139
13	33687100	305419896	73	125	52	139
14	33794838	3200824709	73	125	52	139
15	33794838	3758756062	73	125	52	139
16	33794838	2014875585	73	125	52	139
17	33794838	305419896	73	125	52	139
18	33813460	3200824709	73	125	52	139
19	33813460	3758756062	73	125	52	139
20	33813460	2014875585	73	125	52	139
21	33813460	305419896	73	125	52	139
22	33808440	3200824709	78	95	17	139
23	33808440	3758756062	78	95	17	139
24	33808440	2014875585	78	95	17	139
25	33808440	305419896	78	95	17	139
