trial	seed	foe_before	foe_after	foe_max	switched	our_after	rng_after
1	0	78	78	95	1	139	647330600
2	2654435761	78	78	95	1	139	2472854137
3	1013904226	78	78	95	1	139	3410378
4	3668339987	78	78	95	1	139	1828933915
5	2027808452	78	78	95	1	139	3654457452
6	387276917	78	78	95	1	139	1185013693
7	3041712678	78	78	95	1	139	3010537230
8	1401181143	78	78	95	1	139	541093471
9	4055616904	78	78	95	1	139	2366617008
10	2415085369	78	78	95	1	139	4192140545
11	774553834	78	78	95	1	139	1722696786
12	3428989595	78	78	95	1	139	3548220323
13	1788458060	78	78	95	1	139	1078776564
14	147926525	78	78	95	1	139	2904300101
15	2802362286	78	78	95	1	139	434856342
16	1161830751	78	78	95	1	139	2260379879
17	3816266512	78	78	95	1	139	4085903416
18	2175734977	78	78	95	1	139	1616459657
19	535203442	78	78	95	1	139	3441983194
20	3189639203	78	78	95	1	139	972539435
21	1549107668	78	78	95	1	139	2798062972
22	4203543429	78	78	95	1	139	328619213
23	2563011894	78	78	95	1	139	2154142750
24	922480359	78	78	95	1	139	3979666287
25	3576916120	78	78	95	1	139	1510222528
26	1936384585	78	78	95	1	139	3335746065
27	295853050	78	78	95	1	139	866302306
28	2950288811	78	78	95	1	139	2691825843
29	1309757276	78	78	95	1	139	222382084
30	3964193037	78	78	95	1	139	2047905621
31	2323661502	78	78	95	1	139	3873429158
32	683129967	78	78	95	1	139	1403985399
33	3337565728	78	78	95	1	139	3229508936
34	1697034193	78	78	95	1	139	760065177
35	56502658	78	78	95	1	139	2585588714
36	2710938419	78	78	95	1	139	116144955
37	1070406884	78	78	95	1	139	1941668492
38	3724842645	78	78	95	1	139	3767192029
39	2084311110	78	78	95	1	139	1297748270
40	443779575	78	78	95	1	139	3123271807
41	3098215336	78	78	95	1	139	653828048
42	1457683801	78	78	95	1	139	2479351585
43	4112119562	78	78	95	1	139	9907826
44	2471588027	78	78	95	1	139	1835431363
45	831056492	78	78	95	1	139	3660954900
46	3485492253	78	78	95	1	139	1191511141
47	1844960718	78	78	95	1	139	3017034678
48	204429183	78	78	95	1	139	547590919
