trial	seed	foe_before	foe_after	foe_max	switched	our_after	rng_after
1	0	78	87	125	1	139	639546082
2	2654435761	78	89	125	1	139	3466621739
3	1013904226	78	90	125	1	139	1998730100
4	3668339987	78	85	125	1	139	4294110332
5	2027808452	78	87	125	1	139	3357914118
6	387276917	78	70	125	1	139	2709027542
7	3041712678	78	90	125	1	139	4063969795
8	1401181143	78	85	125	1	139	3249206497
9	4055616904	78	87	125	1	139	2478887005
10	2415085369	78	89	125	1	139	313423219
11	774553834	78	90	125	1	139	3140498876
12	3428989595	78	74	125	1	139	2248746468
13	1788458060	78	87	125	1	139	204715598
14	147926525	78	88	125	1	139	663663678
15	2802362286	78	90	125	1	139	2018605931
16	1161830751	78	91	125	1	139	96007977
17	3816266512	78	87	125	1	139	433523141
18	2175734977	78	70	125	1	139	1788465394
19	535203442	78	90	125	1	139	4282267652
20	3189639203	78	91	125	1	139	203382604
21	1549107668	78	86	125	1	139	1346484374
22	4203543429	78	88	125	1	139	4173560031
23	2563011894	78	89	125	1	139	4268209363
24	922480359	78	74	125	1	139	1328184320
25	3576916120	78	86	125	1	139	4064852410
26	1936384585	78	88	125	1	139	4038068826
27	295853050	78	89	125	1	139	1129069132
28	2950288811	78	91	125	1	139	2452986036
29	1309757276	78	86	125	1	139	3807928289
30	3964193037	78	68	125	1	139	867903246
31	2323661502	78	89	125	1	139	2222845499
32	683129967	78	91	125	1	139	2379545529
33	3337565728	78	86	125	1	139	911653890
34	1697034193	78	87	125	1	139	1992704962
35	56502658	78	89	125	1	139	2270837908
36	2710938419	78	73	125	1	139	407622172
37	1070406884	78	86	125	1	139	3630021926
38	3724842645	78	87	125	1	139	2162130287
39	2084311110	78	89	125	1	139	177481635
40	443779575	78	90	125	1	139	3521314305
41	3098215336	78	85	125	1	139	2053422666
42	1457683801	78	87	125	1	139	585531027
43	4112119562	78	89	125	1	139	3412606684
44	2471588027	78	90	125	1	139	1944715045
45	831056492	78	85	125	1	139	4012167857
46	3485492253	78	87	125	1	139	3303899063
47	1844960718	78	89	125	1	139	1836007424
48	204429183	78	90	125	1	139	3782027320
49	2858864944	78	91	125	1	139	3195191442
50	1218333409	78	87	125	1	139	2196944530
51	3872769170	78	88	125	1	139	259408164
52	2232237635	78	90	125	1	139	3086483821
53	591706100	78	91	125	1	139	1966803993
54	3246141861	78	87	125	1	139	150700543
55	1605610326	78	88	125	1	139	381721203
56	4260046087	78	90	125	1	139	1509884561
57	2619514552	78	91	125	1	139	41992922
58	978983017	78	86	125	1	139	151580666
59	3633418778	78	88	125	1	139	1401176940
60	1992887243	78	89	125	1	139	4228252597
61	352355708	78	91	125	1	139	2760360958
62	3006791469	78	86	125	1	139	1292469319
63	1366259934	78	88	125	1	139	4119544976
64	4020695695	78	89	125	1	139	3986266888
65	2380164160	78	91	125	1	139	1183761698
66	739632625	78	86	125	1	139	4010837355
67	3394068386	78	87	125	1	139	3756126351
68	1753536851	78	89	125	1	139	1075054077
69	113005316	78	91	125	1	139	2171043561
70	2767441077	78	86	125	1	139	3525985814
71	1126909542	78	87	125	1	139	966346456
72	3781345303	78	89	125	1	139	1940903024
73	2140813768	78	91	125	1	139	2325530474
74	500282233	78	86	125	1	139	355820234
75	3154717994	78	87	125	1	139	1710762487
76	1514186459	78	89	125	1	139	2216822853
77	4168622220	78	90	125	1	139	125679697
78	2528090685	78	85	125	1	139	3576006871
79	887559150	78	87	125	1	139	2108115232
80	3541994911	78	89	125	1	139	640223593
81	1901463376	78	90	125	1	139	3467299250
82	260931841	78	85	125	1	139	1999407611
83	2915367602	78	87	125	1	139	3960365919
84	1274836067	78	88	125	1	139	3358591629
85	3929271828	78	90	125	1	139	1890699990
86	2288740293	78	91	125	1	139	3730225382
87	648208758	78	87	125	1	139	3249884008
88	3302644519	78	88	125	1	139	1781992369
89	1662112984	78	90	125	1	139	3500084845
90	21581449	78	91	125	1	139	3141176387
91	2676017210	78	87	125	1	139	1915002055
92	1035485675	78	88	125	1	139	205393109
93	3689921436	78	89	125	1	139	3032468766
94	2049389901	78	91	125	1	139	1684861518
95	408858366	78	86	125	1	139	96685488
96	3063294127	78	88	125	1	139	99778728
97	1422762592	78	89	125	1	139	1455869506
