# session Wed Aug 26 21:18:39 2026
statefile	action	move_id	slot	new_species	our_active
ep001_f000463.ss	switch	0	-1	862	768
ep002_f000463.ss	switch	0	-1	862	673
ep003_f000463.ss	switch	0	-1	862	602
ep004_f000463.ss	switch	0	-1	862	307
ep005_f000463.ss	switch	0	-1	862	71
ep006_f000463.ss	switch	0	-1	862	768
ep007_f000463.ss	switch	0	-1	862	673
ep008_f000463.ss	switch	0	-1	862	602
ep009_f000463.ss	switch	0	-1	862	307
ep010_f000463.ss	switch	0	-1	862	71
ep011_f000463.ss	switch	0	-1	862	768
ep012_f000463.ss	switch	0	-1	862	673
ep013_f000463.ss	switch	0	-1	862	602
ep014_f000463.ss	switch	0	-1	862	307
ep015_f000463.ss	switch	0	-1	862	71
ep016_f000232.ss	move	459	1	0	768
ep017_f000232.ss	move	459	1	0	673
ep017_f000925.ss	move	368	2	0	71
ep017_f001849.ss	move	237	3	0	307
ep018_f000232.ss	move	459	1	0	602
ep018_f001156.ss	switch	0	-1	955	768
ep019_f000232.ss	move	459	1	0	307
ep019_f001156.ss	switch	0	-1	955	673
ep020_f000232.ss	move	459	1	0	71
ep020_f000925.ss	move	237	3	0	602
ep021_f000463.ss	switch	0	-1	862	768
ep022_f000463.ss	switch	0	-1	862	673
ep023_f000463.ss	switch	0	-1	862	602
ep024_f000463.ss	switch	0	-1	862	307
ep024_f000925.ss	move	86	2	0	673
ep024_f001618.ss	move	574	0	0	71
ep025_f000463.ss	switch	0	-1	862	71
